symbol;available_exchanges;currency_base;currency_quote
CS/ETH;"[""CoinTiger"",""Kucoin""]";Credits;Ethereum
CSNO/USD;"[""Synthetic""]";BitDice;US Dollar
CS/USD;"[""Synthetic""]";Credits;US Dollar
CTIC2/BTC;"[""YoBit""]";Coimatic 2.0;Bitcoin
CTIC2/USD;"[""Synthetic""]";Coimatic 2.0;US Dollar
CTIC3/USD;"[""Synthetic""]";Coimatic 3.0;US Dollar
CTSI/BNB;"[""Binance""]";Cartesi;Binance Coin
CTSI/BTC;"[""Binance""]";Cartesi;Bitcoin
CTSI/USD;"[""Bilaxy"",""Binance""]";Cartesi;US Dollar
CTXC/BTC;"[""CoinEx"",""CoinTiger"",""Huobi"",""OKEx""]";Cortex;Bitcoin
CTXC/ETH;"[""Coinbene"",""CoinTiger"",""Huobi"",""OKEx""]";Cortex;Ethereum
CTXC/USD;"[""Binance"",""BitForex"",""Huobi"",""OKEx""]";Cortex;US Dollar
CTX/USD;"[""Synthetic""]";CarTaxi Token;US Dollar
CURE/BTC;"[""Bittrex""]";Curecoin;Bitcoin
CURE/USD;"[""Synthetic""]";Curecoin;US Dollar
CV2/USD;"[""Synthetic""]";Colossuscoin V2;US Dollar
CV/BTC;"[""Kucoin""]";carVertical;Bitcoin
CVC/BTC;"[""Binance"",""Coinbene"",""Mercatox"",""OKEx""]";Civic;Bitcoin
CVC/ETH;"[""Binance"",""Huobi"",""Mercatox"",""OKEx""]";Civic;Ethereum
CVC/KRW;"[""GOPAX"",""Upbit""]";Civic;Korean Won
CVC/THB;"[""Bitkub""]";Civic;Thai Baht
CVC/USD;"[""Binance"",""Gate.io"",""Huobi"",""OKEx""]";Civic;US Dollar
CV/ETH;"[""Kucoin""]";carVertical;Ethereum
CVT/BTC;"[""Bit-Z"",""HitBTC""]";CyberVein;Bitcoin
CVT/ETH;"[""Bit-Z"",""HitBTC""]";CyberVein;Ethereum
CVT/USD;"[""HitBTC"",""Synthetic""]";CyberVein;US Dollar
CV/USD;"[""Synthetic""]";carVertical;US Dollar
CWXT/USD;"[""Synthetic""]";CryptoWorldX Token;US Dollar
CXT/BTC;"[""YoBit""]";Coinonat;Bitcoin
CXT/USD;"[""Synthetic""]";Coinonat;US Dollar
CYC/USD;"[""Synthetic""]";Cycling Coin;US Dollar
CYDER/USD;"[""Synthetic""]";Cyder;US Dollar
DAG/BTC;"[""Kucoin""]";Constellation;Bitcoin
DAG/ETH;"[""Kucoin""]";Constellation;Ethereum
DAG/USD;"[""Synthetic""]";Constellation;US Dollar
DAI/BTC;"[""Ethfinex""]";Dai;Bitcoin
DAI/ETH;"[""Ethfinex"",""Kyber Network""]";Dai;Ethereum
DAI/USD;"[""Ethfinex"",""Gate.io""]";Dai;US Dollar
DALC/BTC;"[""YoBit""]";Dalecoin;Bitcoin
DALC/USD;"[""Synthetic""]";Dalecoin;US Dollar
DAPS/USD;"[""Synthetic""]";DAPS Token;US Dollar
DASH/AUD;"[""Synthetic""]";Dash;Australian Dollar
DASH/BCH;"[""CoinEx""]";Dash;Bitcoin Cash
DASH/BNB;"[""Binance""]";Dash;Binance Coin
DASH/BTC;"[""Binance"",""HitBTC"",""Poloniex"",""YoBit""]";Dash;Bitcoin
DASH/CAD;"[""Synthetic""]";Dash;Canadian Dollar
DASH/CNY;"[""Synthetic""]";Dash;Chinese Yuan
DASH/ETH;"[""Bittrex"",""HitBTC"",""p2pb2b""]";Dash;Ethereum
DASH/EUR;"[""CEX.IO"",""Kraken""]";Dash;Euro
DASHG/BTC;"[""Graviex""]";Dash Green;Bitcoin
DASHG/USD;"[""Synthetic""]";Dash Green;US Dollar
DASH/HKD;"[""Synthetic""]";Dash;Hong Kong Dollar
DASH/ILS;"[""Synthetic""]";Dash;Israeli Shekel
DASH/INR;"[""Synthetic""]";Dash;Indian Rupee
DASH/JPY;"[""Synthetic""]";Dash;Japanese Yen
DASH/KRW;"[""Bithumb""]";Dash;Korean Won
DASH/MXN;"[""Synthetic""]";Dash;Mexican Peso
DASH/MYR;"[""Synthetic""]";Dash;Malaysian Ringgit
DASH/PLN;"[""BitBay"",""Synthetic""]";Dash;Polish Zloty
DASH/RUB;"[""Exmo"",""Synthetic""]";Dash;Russian Ruble
DASH/SAR;"[""Synthetic""]";Dash;Saudi Riyal
DASHS/BTC;"[""YoBit""]";Dashs;Bitcoin
DASH/SEK;"[""Synthetic""]";Dash;Swedish Krona
DASHS/USD;"[""Synthetic""]";Dashs;US Dollar
DASH/TRY;"[""Bitci.com"",""BTCTurk"",""Koineks"",""Koinim"",""Synthetic"",""Vebitcoin""]";Dash;Turkish Lira
DASH/USD;"[""Binance"",""Huobi"",""OKEx"",""Poloniex"",""ZB.COM""]";Dash;US Dollar
DASH/VND;"[""Synthetic""]";Dash;Vietnamese Dong
DASH/ZAR;"[""Synthetic""]";Dash;South African Rand
DATA/BTC;"[""Binance""]";Streamr;Bitcoin
DATA/BTC;"[""Bitfinex""]";Streamr DATAcoin;Bitcoin
DATA/ETH;"[""Bitfinex"",""Gate.io""]";Streamr DATAcoin;Ethereum
DATA/USD;"[""Bitfinex"",""Gate.io""]";Streamr DATAcoin;US Dollar
DAT/BTC;"[""Huobi""]";Datum;Bitcoin
DAT/ETH;"[""Huobi""]";Datum;Ethereum
DAT/USD;"[""Synthetic""]";Datum;US Dollar
DAV/USD;"[""Synthetic""]";DavorCoin;US Dollar
DAX/BTC;"[""LBank""]";DAEX;Bitcoin
DAX/ETH;"[""LBank""]";DAEX;Ethereum
DAX/USD;"[""Synthetic""]";DAEX;US Dollar
DAY/ETH;"[""HitBTC""]";Chronologic;Ethereum
DAY/USD;"[""Synthetic""]";Chronologic;US Dollar
DBC/BTC;"[""Gate.io"",""Huobi"",""Kucoin""]";DeepBrain Chain;Bitcoin
DBC/ETH;"[""Gate.io"",""Huobi"",""Kucoin"",""LBank""]";DeepBrain Chain;Ethereum
DBC/INR;"[""Bitbns""]";DeepBrain Chain;Indian Rupee
DBC/NEO;"[""Kucoin""]";DeepBrain Chain;NEO
DBC/USD;"[""Gate.io""]";DeepBrain Chain;US Dollar
DBG/BTC;"[""YoBit""]";Digital Bullion Gold;Bitcoin
DBG/USD;"[""Synthetic""]";Digital Bullion Gold;US Dollar
DBIX/BTC;"[""HitBTC""]";DubaiCoin;Bitcoin
DBIX/USD;"[""Synthetic""]";DubaiCoin;US Dollar
D/BTC;"[""SouthXchange""]";Denarius;Bitcoin
DBTC/USD;"[""Synthetic""]";Debitcoin;US Dollar
DCC/USD;"[""Synthetic""]";Distributed Credit...;US Dollar
DCN/ETH;"[""HitBTC""]";Dentacoin;Ethereum
DCN/USD;"[""HitBTC""]";Dentacoin;US Dollar
DCR/BCH;"[""CoinEx""]";Decred;Bitcoin
DCR/BTC;"[""Binance"",""Bittrex"",""CoinEx"",""Poloniex""]";Decred;Bitcoin
DCRE/BTC;"[""YoBit""]";DeltaCredits;Bitcoin
DCRE/USD;"[""Synthetic""]";DeltaCredits;US Dollar
DCR/USD;"[""DragonEX"",""Gate.io"",""MXC"",""OKEx"",""Synthetic""]";Decred;US Dollar
DCT/BTC;"[""Bittrex"",""HitBTC""]";DECENT;Bitcoin
DCT/USD;"[""Synthetic""]";DECENT;US Dollar
DCY/BTC;"[""BTC-Alpha""]";Dinastycoin;Bitcoin
DCY/USD;"[""Synthetic""]";Dinastycoin;US Dollar
DDD/BTC;"[""Gate.io""]";Scry.info;Bitcoin
DDD/ETH;"[""Gate.io"",""LBank""]";Scry.info;Ethereum
DDD/USD;"[""Gate.io""]";Scry.info;US Dollar
DDF/USD;"[""Synthetic""]";DigitalDevelopersFund;US Dollar
DDK/BTC;"[""FinexBox""]";DDKoin;Bitcoin
DDK/USD;"[""SIMEX""]";DDKoin;US Dollar
DEEX/BTC;"[""BTC-Alpha""]";DEEX;Bitcoin
DEEX/USD;"[""BTC-Alpha""]";DEEX;US Dollar
DEM/BTC;"[""YoBit""]";Deutsche eMark;Bitcoin
DEM/USD;"[""Synthetic""]";Deutsche eMark;US Dollar
DENT/BTC;"[""HitBTC"",""Kucoin"",""Upbit""]";Dent;Bitcoin
DENT/ETH;"[""Binance"",""HitBTC"",""Kucoin"",""LATOKEN""]";Dent;Ethereum
DENT/INR;"[""Bitbns""]";Dent;Indian Rupee
DENT/TRY;"[""Vebitcoin""]";Dent;Turkish Lira
DENT/USD;"[""Binance"",""HitBTC""]";Dent;US Dollar
DERO/BTC;"[""TradeOgre""]";Dero;Bitcoin
DERO/USD;"[""Synthetic""]";Dero;US Dollar
DES/BTC;"[""YoBit""]";Destiny;Bitcoin
DES/USD;"[""Synthetic""]";Destiny;US Dollar
DEUS/USD;"[""Synthetic""]";DeusCoin;US Dollar
DEX/ETH;"[""DigiFinex""]";DEX;Ethereum
DEX/USD;"[""Synthetic""]";DEX;US Dollar
DFT/BTC;"[""YoBit""]";DraftCoin;Bitcoin
DFT/USD;"[""YoBit""]";DraftCoin;US Dollar
DGB/AUD;"[""Synthetic""]";DigiByte;Australian Dollar
DGB/BCH;"[""CoinEx""]";DigiByte;Bitcoin Cash
DGB/BRL;"[""NovaDAX""]";DigiByte;Brazil Real
DGB/BTC;"[""Bittrex"",""CoinEx"",""HitBTC"",""OKEx""]";DigiByte;Bitcoin
DGB/CHF;"[""Bitci.com""]";DigiByte;Swiss Franc
DGB/ETH;"[""Bittrex"",""HitBTC"",""Huobi"",""Kucoin""]";DigiByte;Ethereum
DGB/TRY;"[""Bitci.com""]";DigiByte;Turkish Lira
DGB/USD;"[""Bittrex"",""CoinEx"",""HitBTC"",""OKEx""]";DigiByte;US Dollar
DGC/BTC;"[""FreiExchange""]";Digitalcoin;Bitcoin
DGCS/USD;"[""Synthetic""]";Digital Credits;US Dollar
DGC/USD;"[""Synthetic""]";Digitalcoin;US Dollar
DGD/BTC;"[""Bitrue"",""Coinbene"",""Huobi""]";DigixDAO;Bitcoin
DGD/ETH;"[""Huobi""]";DigixDAO;Ethereum
DGD/USD;"[""Synthetic""]";DigixDAO;US Dollar
DGTX/BTC;"[""Mercatox""]";Digitex Futures;Bitcoin
DGTX/ETH;"[""Mercatox""]";Digitex Futures;Ethereum
DGTX/USD;"[""Synthetic""]";Digitex Futures;US Dollar
DICE/ETH;"[""HitBTC""]";Etheroll;Ethereum
DICE/USD;"[""Synthetic""]";Etheroll;US Dollar
DIG/USD;"[""Livecoin""]";Dignity;US Dollar
DIME/USD;"[""YoBit""]";Dimecoin;US Dollar
DISK/USD;"[""Synthetic""]";DarkLisk;US Dollar
DIVI/BTC;"[""Bitrue""]";Divi;Bitcoin
DIVI/USD;"[""Synthetic""]";Divi;US Dollar
DIVI/XRP;"[""Bitrue""]";Divi;XRP
DLC/BTC;"[""YoBit""]";Dollarcoin;Bitcoin
DLC/USD;"[""Synthetic""]";Dollarcoin;US Dollar
DLISK/USD;"[""Synthetic""]";DAPPSTER;US Dollar
DLT/BTC;"[""Binance"",""YoBit""]";Agrello;Bitcoin
DLT/USD;"[""Synthetic""]";Agrello;US Dollar
DMB/BTC;"[""Crex24""]";Digital Money Bits;Bitcoin
DMB/USD;"[""Synthetic""]";Digital Money Bits;US Dollar
DMG/ETH;"[""MXC""]";DMM: Governance;Ethereum
DMG/USD;"[""MXC"",""OKEx""]";DMM: Governance;US Dollar
DMT/BTC;"[""Bittrex""]";DMarket;Bitcoin
DMT/USD;"[""Synthetic""]";DMarket;US Dollar
DNA/ETH;"[""IDEX""]";EncrypGen;Ethereum
DNA/USD;"[""Synthetic""]";EncrypGen;US Dollar
DNR/USD;"[""Synthetic""]";Denarius;US Dollar
DNT/BTC;"[""Binance"",""Bitrue"",""Bittrex"",""Mercatox""]";district0x;Bitcoin
DNT/ETH;"[""Gate.io"",""Mercatox""]";district0x;Ethereum
DNT/USD;"[""Synthetic""]";district0x;US Dollar
DNT/XRP;"[""Bitrue""]";district0x;XRP
DOCK/BTC;"[""Binance"",""Kucoin""]";Dock;Bitcoin
DOCK/ETH;"[""Gate.io"",""Kucoin""]";Dock;Ethereum
DOCK/USD;"[""Binance"",""Gate.io""]";Dock;US Dollar
DOGE/BRL;"[""Coingecko""]";Dogecoin;Brazil Real
DOGE/BTC;"[""Binance"",""Bittrex"",""COINEGG"",""HitBTC"",""Kraken""]";Dogecoin;Bitcoin
DOGE/BUSD;"[""Binance""]";Dogecoin;Binance USD
DOGE/CAD;"[""Synthetic""]";Dogecoin;Canadian Dollar
DOGE/CNY;"[""Synthetic""]";Dogecoin;Chinese Yuan
DOGE/ETH;"[""HitBTC"",""Huobi""]";Dogecoin;Ethereum
DOGE/EUR;"[""Binance"",""Kraken""]";Dogecoin;Euro
DOGE/KRW;"[""Bithumb""]";Dogecoin;Korean Won
DOGE/RUB;"[""Binance""]";Dogecoin;Russian Ruble
DOGE/TRY;"[""Binance"",""Bitci.com"",""Koineks"",""Koinim"",""Paribu""]";Dogecoin;Turkish Lira
DOGE/USD;"[""Binance"",""HitBTC"",""Huobi"",""ZB.COM""]";Dogecoin;US Dollar
DOLLAR/BTC;"[""Livecoin""]";Dollar Online;Bitcoin
DOLLAR/USD;"[""Synthetic""]";Dollar Online;US Dollar
DOPE/BTC;"[""Mercatox""]";DopeCoin;Bitcoin
DOPE/USD;"[""Synthetic""]";DopeCoin;US Dollar
DOV/BTC;"[""HitBTC""]";Dovu;Bitcoin
DOV/ETH;"[""HitBTC""]";Dovu;Ethereum
DOVU/USD;"[""Synthetic""]";Dovu;US Dollar
DP/USD;"[""Synthetic""]";DigitalPrice;US Dollar
DPY/ETH;"[""Gate.io""]";Delphy;Ethereum
DPY/USD;"[""Gate.io""]";Delphy;US Dollar
DREAM/BTC;"[""Liquid""]";DreamTeam;Bitcoin
DREAM/USD;"[""Synthetic""]";DreamTeam;US Dollar
DREP/BTC;"[""Binance""]";DREP;Bitcoin
DREP/USD;"[""Binance""]";DREP;US Dollar
DRG/BTC;"[""HitBTC""]";Dragon Coins;Bitcoin
DRG/ETH;"[""HitBTC""]";Dragon Coins;Ethereum
DRGN/BTC;"[""Kucoin""]";Dragonchain;Bitcoin
DRGN/ETH;"[""Gate.io"",""Kucoin""]";Dragonchain;Ethereum
DRGN/NEO;"[""Kucoin""]";Dragonchain;NEO
DRGN/USD;"[""Gate.io""]";Dragonchain;US Dollar
DRG/USD;"[""Synthetic""]";Dragon Coins;US Dollar
DRM/BTC;"[""YoBit""]";Dreamcoin;Bitcoin
DRM/USD;"[""Synthetic""]";Dreamcoin;US Dollar
DROP/ETH;"[""BitMart""]";Dropil;Ethereum
DROP/USD;"[""Synthetic""]";Dropil;US Dollar
DRP/USD;"[""Synthetic""]";DCORP;US Dollar
DRS/USD;"[""Synthetic""]";Digital Rupees;US Dollar
DRT/BTC;"[""HitBTC"",""YoBit""]";DomRaider;Bitcoin
DRT/ETH;"[""HitBTC""]";DomRaider;Ethereum
DRT/USD;"[""HitBTC"",""Synthetic""]";DomRaider;US Dollar
DRXNE/USD;"[""Synthetic""]";DROXNE;US Dollar
DSR/BTC;"[""Mercatox""]";Desire;Bitcoin
DSR/USD;"[""Synthetic""]";Desire;US Dollar
DTA/BTC;"[""Bittrex"",""Huobi"",""Upbit""]";DATA;Bitcoin
DTA/ETH;"[""Huobi""]";DATA;Ethereum
DTA/USD;"[""Huobi""]";DATA;US Dollar
DTB/USD;"[""Synthetic""]";Databits;US Dollar
DTEP/BTC;"[""Decoin""]";DECOIN;Bitcoin
DTEP/USD;"[""Synthetic""]";DECOIN;US Dollar
DUB/USD;"[""Synthetic""]";Dubstep;US Dollar
DUO/BTC;"[""YoBit""]";ParallelCoin;Bitcoin
DUO/DOGE;"[""YoBit""]";ParallelCoin;Dogecoin
DUO/ETH;"[""YoBit""]";ParallelCoin;Ethereum
DUO/USD;"[""Synthetic""]";ParallelCoin;US Dollar
DUTCH/USD;"[""Synthetic""]";Dutch Coin;US Dollar
DYNMT/BTC;"[""Bilaxy"",""Hotbit"",""Mercatox""]";Dynamite;Bitcoin
DYNMT/ETH;"[""Hotbit"",""Mercatox""]";Dynamite;Ethereum
DYNMT/USD;"[""Hotbit""]";Dynamite;US Dollar
DYN/USD;"[""Synthetic""]";Dynamic;US Dollar
E2C/USD;"[""Synthetic""]";Electronic Energy...;US Dollar
EAC/BTC;"[""COINEGG""]";EarthCoin;Bitcoin
EAC/USD;"[""Synthetic""]";EarthCoin;US Dollar
EAGLE/USD;"[""Synthetic""]";EagleCoin;US Dollar
EBCH/USD;"[""Synthetic""]";eBitcoinCash;US Dollar
EBET/USD;"[""Synthetic""]";EthBet;US Dollar
EBST/BNB;"[""Binance DEX""]";eBoost;Binance Coin
EBST/USD;"[""Synthetic""]";eBoost;US Dollar
EBTC/ETH;"[""Mercatox""]";eBitcoin;Ethereum
EBTC/USD;"[""Synthetic""]";eBitcoin;US Dollar
EBT/USD;"[""Synthetic""]";Ebittree Coin;US Dollar
ECASH/BTC;"[""YoBit""]";Ethereum Cash;Bitcoin
ECASH/USD;"[""Synthetic""]";Ethereum Cash;US Dollar
ECA/USD;"[""Synthetic""]";Electra;US Dollar
ECC/BTC;"[""Crex24""]";ECC;Bitcoin
ECC/USD;"[""Synthetic""]";ECC;US Dollar
ECN/BTC;"[""YoBit""]";E-coin;Bitcoin
ECN/USD;"[""Synthetic""]";E-coin;US Dollar
ECOB/BTC;"[""YoBit""]";Ecobit;Bitcoin
ECO/BTC;"[""YoBit""]";EcoCoin;Bitcoin
ECOB/USD;"[""Synthetic""]";Ecobit;US Dollar
ECO/USD;"[""Synthetic""]";EcoCoin;US Dollar
ECTE/BTC;"[""p2pb2b""]";EurocoinToken;Bitcoin
ECTE/USD;"[""Synthetic""]";EurocoinToken;US Dollar
EDC/BTC;"[""Bit-Z"",""Exrates""]";EDC Blockchain;Bitcoin
EDC/USD;"[""Synthetic""]";EDC Blockchain;US Dollar
EDG/BTC;"[""Bittrex"",""HitBTC""]";Edgeless;Bitcoin
EDG/ETH;"[""HitBTC""]";Edgeless;Ethereum
EDG/USD;"[""HitBTC""]";Edgeless;US Dollar
EDO/BTC;"[""Bitfinex""]";Eidoo;Bitcoin
EDO/ETH;"[""Bitfinex""]";Eidoo;Ethereum
EDO/USD;"[""Bitfinex""]";Eidoo;US Dollar
EDRC/BTC;"[""YoBit""]";EDRCoin;Bitcoin
EDRC/USD;"[""Synthetic""]";EDRCoin;US Dollar
EDRL/BTC;"[""Hotbit""]";Endor Protocol;Bitcoin
EDRL/ETH;"[""Hotbit""]";Endor Protocol;Ethereum
EDRL/USD;"[""CoinTiger"",""Synthetic""]";Endor Protocol;US Dollar
EER/BTC;"[""IDCM""]";Ethereum eRush;Bitcoin
EER/USD;"[""Synthetic""]";Ethereum eRush;US Dollar
EGAS/USD;"[""Synthetic""]";ETHGAS;US Dollar
EGC/BTC;"[""Altilly""]";EverGreenCoin;Bitcoin
EGC/USD;"[""Synthetic""]";EverGreenCoin;US Dollar
EGG/USD;"[""Synthetic""]";EggCoin;US Dollar
EGLD/BNB;"[""Binance""]";Elrond;Binance Coin
EGLD/BTC;"[""Binance""]";Elrond;Bitcoin
EGLD/EUR;"[""Binance""]";Elrond;Euro
EGLD/USD;"[""Bilaxy"",""Binance""]";Elrond;US Dollar
EGOLD/USD;"[""Synthetic""]";eGold;US Dollar
EGO/USD;"[""Synthetic""]";EGO;US Dollar
EGT/BTC;"[""Hotbit"",""Huobi"",""OKEx""]";Egretia;Bitcoin
EGT/ETH;"[""Kucoin"",""OKEx""]";Egretia;Ethereum
EGT/USD;"[""CoinTiger"",""Huobi"",""OKEx"",""Synthetic""]";Egretia;US Dollar
EKT/BTC;"[""Huobi""]";EDUCare;Bitcoin
EKT/ETH;"[""Huobi""]";EDUCare;Ethereum
EKT/USD;"[""Huobi"",""Synthetic""]";EDUCare;US Dollar
ELA/BTC;"[""COINEGG"",""CoinEx"",""Huobi"",""Kucoin""]";Elastos;Bitcoin
ELA/ETH;"[""COINEGG"",""Huobi"",""Kucoin""]";Elastos;Ethereum
ELA/USD;"[""CoinEx"",""Huobi"",""Huobi Korea""]";Elastos;US Dollar
ELC/BTC;"[""YoBit""]";Elacoin;Bitcoin
ELC/USD;"[""Synthetic""]";Elacoin;US Dollar
ELEC/BTC;"[""HitBTC""]";Electrify.Asia;Bitcoin
ELEC/ETH;"[""Gate.io"",""HitBTC""]";Electrify.Asia;Ethereum
ELEC/USD;"[""Gate.io"",""HitBTC""]";Electrify.Asia;US Dollar
ELE/USD;"[""Synthetic""]";Elementrem;US Dollar
ELF/BTC;"[""Binance"",""Coinbene"",""Huobi"",""OKEx""]";aelf;Bitcoin
ELF/ETH;"[""Binance"",""Gate.io"",""Huobi"",""OKEx""]";aelf;Ethereum
ELF/USD;"[""Dcoin"",""Gate.io"",""Huobi"",""OKEx""]";aelf;US Dollar
ELITE/BTC;"[""YoBit""]";Ethereum Lite;Bitcoin
ELITE/USD;"[""Synthetic""]";Ethereum Lite;US Dollar
ELIX/USD;"[""Synthetic""]";Elixir;US Dollar
ELLA/USD;"[""Synthetic""]";Ellaism;US Dollar
ELTC2/USD;"[""Synthetic""]";eLTC;US Dollar
ELTCOIN/ETH;"[""Mercatox""]";ELTCOIN;Ethereum
ELTCOIN/USD;"[""Synthetic""]";ELTCOIN;US Dollar
EL/USD;"[""Livecoin""]";Elcoin;US Dollar
ELYTE/USD;"[""Synthetic""]";ETHEREUM LYTE;US Dollar
EMC2/BTC;"[""Bittrex"",""Upbit""]";Einsteinium;Bitcoin
EMC2/KRW;"[""Upbit""]";Einsteinium;Korean Won
EMC2/USD;"[""Synthetic""]";Einsteinium;US Dollar
EMD/BTC;"[""Graviex""]";Emerald Crypto;Bitcoin
EMD/USD;"[""Synthetic""]";Emerald Crypto;US Dollar
EMV/USD;"[""Synthetic""]";Ethereum Movie Venture;US Dollar
ENG/BTC;"[""Bittrex"",""Mercatox""]";Enigma;Bitcoin
ENG/ETH;"[""Bittrex"",""Mercatox""]";Enigma;Ethereum
ENG/KRW;"[""GOPAX""]";Enigma;Korean Won
ENG/USD;"[""Synthetic""]";Enigma;US Dollar
ENJ/BTC;"[""Binance"",""HitBTC"",""Kucoin"",""Panxora""]";Enjin coin;Bitcoin
ENJ/ETH;"[""Binance"",""Kucoin"",""Kyber Network""]";Enjin coin;Ethereum
ENJ/ETH;"[""LATOKEN""]";Enjin Coin;Ethereum
ENJ/KRW;"[""Bithumb"",""Upbit""]";Enjin Coin;Korean Won
ENJ/USD;"[""HitBTC""]";Enjin coin;US Dollar
ENJ/USD;"[""Binance""]";Enjin Coin;US Dollar
ENRG/BTC;"[""Crex24""]";Energycoin;Bitcoin
ENRG/USD;"[""Synthetic""]";Energycoin;US Dollar
ENT/BTC;"[""YoBit""]";Eternity;Bitcoin
ENT/USD;"[""Synthetic""]";Eternity;US Dollar
EOS/AUD;"[""Synthetic""]";EOS;Australian Dollar
EOS/BCH;"[""CoinEx""]";EOS;Bitcoin Cash
EOS/BNB;"[""Binance""]";EOS;Binance Coin
EOS/BRL;"[""Coinbene"",""NovaDAX""]";EOS;Brazil Real
EOS/BTC;"[""Bibox"",""Coinbene"",""IDCM""]";EOS;Bitcoin
EOS/CAD;"[""Synthetic""]";EOS;Canadian Dollar
EOS/CNY;"[""Synthetic""]";EOS;Chinese Yuan
EOSDAC/BTC;"[""Hotbit""]";eosDAC;Bitcoin
EOSDAC/ETH;"[""Gate.io"",""Hotbit""]";eosDAC;Ethereum
EOSDAC/USD;"[""Gate.io"",""Synthetic""]";eosDAC;US Dollar
EOS/ETH;"[""Bibox"",""BitMart"",""OKEx""]";EOS;Ethereum
EOS/EUR;"[""Kraken"",""Synthetic""]";EOS;Euro
EOS/GBP;"[""Bitfinex""]";EOS;British Pound
EOS/HKD;"[""Synthetic""]";EOS;Hong Kong Dollar
EOS/ILS;"[""Synthetic""]";EOS;Israeli Shekel
EOS/INR;"[""Bitbns"",""Synthetic""]";EOS;Indian Rupee
EOS/KRW;"[""Bithumb"",""Coinone"",""Upbit""]";EOS;Korean Won
EOS/MXN;"[""Synthetic""]";EOS;Mexican Peso
EOS/MYR;"[""Synthetic""]";EOS;Malaysian Ringgit
EOS/NEO;"[""Kucoin""]";EOS;NEO
EOS/PLN;"[""Synthetic""]";EOS;Polish Zloty
EOS/RUB;"[""Synthetic""]";EOS;Russian Ruble
EOS/SAR;"[""Synthetic""]";EOS;Saudi Riyal
EOS/SEK;"[""Synthetic""]";EOS;Swedish Krona
EOS/TRY;"[""BTCTurk"",""Koineks"",""Paribu"",""Synthetic""]";EOS;Turkish Lira
EOS/USD;"[""Coinbene"",""Huobi"",""IDCM"",""OKEx""]";EOS;US Dollar
EOS/VND;"[""Synthetic""]";EOS;Vietnamese Dong
EOS/ZAR;"[""Synthetic""]";EOS;South African Rand
EPY/USD;"[""Synthetic""]";Emphy;US Dollar
EQT/BTC;"[""YoBit""]";EquiTrader;Bitcoin
ERC20/ETH;"[""Mercatox""]";ERC20;Ethereum
ERC20/USD;"[""Synthetic""]";ERC20;US Dollar
ERC/BTC;"[""Crex24""]";EuropeCoin;Bitcoin
ERC/USD;"[""Synthetic""]";EuropeCoin;US Dollar
ERO/BTC;"[""Livecoin"",""Mercatox""]";Eroscoin;Bitcoin
ERO/USD;"[""Synthetic""]";Eroscoin;US Dollar
ERY/USD;"[""Synthetic""]";Eryllium;US Dollar
ESP/ETH;"[""Livecoin""]";Espers;Ethereum
ESP/USD;"[""Synthetic""]";Espers;US Dollar
ESS/BTC;"[""Hotbit""]";Essentia;Bitcoin
ESS/ETH;"[""Hotbit""]";Essentia;Ethereum
ESS/USD;"[""Synthetic""]";Essentia;US Dollar
ETA/USD;"[""Synthetic""]";Etheera;US Dollar
ETBS/USD;"[""Synthetic""]";Ethbits;US Dollar
ETC/AUD;"[""BTC Markets"",""Synthetic""]";Ethereum Classic;Australian Dollar
ETC/BCH;"[""CoinEx""]";Ethereum Classic;Bitcoin Cash
ETC/BNB;"[""Binance""]";Ethereum Classic;Binance Coin
ETC/BRL;"[""Coinbene""]";Ethereum Classic;Brazil Real
ETC/BTC;"[""Bibox"",""Coinbene"",""Huobi"",""Poloniex""]";Ethereum Classic;Bitcoin
ETC/CAD;"[""Synthetic""]";Ethereum Classic;Canadian Dollar
ETC/CNY;"[""Synthetic""]";Ethereum Classic;Chinese Yuan
ETC/ETH;"[""Bibox"",""Coinsbit"",""HitBTC"",""Kraken""]";Ethereum Classic;Ethereum
ETC/EUR;"[""Coinbase Pro"",""Kraken""]";Ethereum Classic;Euro
ETC/GBP;"[""Coinbase Pro""]";Ethereum Classic;British Pound
ETC/HKD;"[""Synthetic""]";Ethereum Classic;Hong Kong Dollar
ETC/IDR;"[""BTC Indonesia""]";Ethereum Classic;Indonesian Rupiah
ETC/ILS;"[""Synthetic""]";Ethereum Classic;Israeli Shekel
ETC/INR;"[""Synthetic""]";Ethereum Classic;Indian Rupee
ETC/JPY;"[""Synthetic""]";Ethereum Classic;Japanese Yen
ETC/KRW;"[""Bithumb"",""Coinone"",""Upbit""]";Ethereum Classic;Korean Won
ETC/MXN;"[""Synthetic""]";Ethereum Classic;Mexican Peso
ETC/MYR;"[""Synthetic""]";Ethereum Classic;Malaysian Ringgit
ETC/PLN;"[""Synthetic""]";Ethereum Classic;Polish Zloty
ETC/RUB;"[""Exmo"",""Synthetic""]";Ethereum Classic;Russian Ruble
ETC/SAR;"[""Synthetic""]";Ethereum Classic;Saudi Riyal
ETC/SEK;"[""Synthetic""]";Ethereum Classic;Swedish Krona
ETC/TRY;"[""Koineks"",""Synthetic""]";Ethereum Classic;Turkish Lira
ETC/USD;"[""Binance"",""Coinbene"",""IDCM"",""Poloniex"",""ZB.COM""]";Ethereum Classic;US Dollar
ETC/VND;"[""Synthetic""]";Ethereum Classic;Vietnamese Dong
