symbol;available_exchanges;currency_base;currency_quote
AMM/ETH;"[""Mercatox""]";MicroMoney;Ethereum
AMMO/USD;"[""Synthetic""]";Ammo Reloaded;US Dollar
AMM/USD;"[""Synthetic""]";MicroMoney;US Dollar
AMPL/BTC;"[""Kucoin""]";Ampleforth;Bitcoin
AMPL/ETH;"[""Kucoin""]";Ampleforth;Ethereum
AMPL/USD;"[""Gate.io"",""Kucoin""]";Ampleforth;US Dollar
AMP/USD;"[""Synthetic""]";Synereo;US Dollar
AMS/BTC;"[""YoBit""]";AmsterdamCoin;Bitcoin
AMS/USD;"[""Synthetic""]";AmsterdamCoin;US Dollar
ANI/USD;"[""Synthetic""]";Animecoin;US Dollar
ANKR/BTC;"[""Binance""]";Ankr;Bitcoin
ANKR/KRW;"[""Upbit""]";Ankr;Korean Won
ANKR/TRY;"[""BTCTurk""]";Ankr;Turkish Lira
ANKR/USD;"[""Binance""]";Ankr;US Dollar
ANT/BTC;"[""Binance"",""Bitfinex"",""Bittrex"",""HitBTC""]";Aragon;Bitcoin
ANT/ETH;"[""Bitfinex"",""Bittrex""]";Aragon;Ethereum
ANTI/USD;"[""Synthetic""]";AntiBitcoin;US Dollar
ANT/KRW;"[""GOPAX""]";Aragon;Korean Won
ANT/USD;"[""Binance"",""Bitfinex""]";Aragon;US Dollar
ANTX/USD;"[""Synthetic""]";Antimatter;US Dollar
AOAR/BTC;"[""Kucoin""]";Aurora;Bitcoin
AOAR/USD;"[""Synthetic""]";Aurora;US Dollar
APIS/BTC;"[""Bit-Z""]";APIS;Bitcoin
APIS/USD;"[""Synthetic""]";APIS;US Dollar
APL/BTC;"[""BitMart""]";Apollo Currency;Bitcoin
APL/ETH;"[""Coinbene""]";Apollo Currency;Ethereum
APL/USD;"[""Synthetic""]";Apollo Currency;US Dollar
APPC/BTC;"[""Binance"",""Huobi""]";AppCoins;Bitcoin
APPC/ETH;"[""Huobi""]";AppCoins;Ethereum
APPC/USD;"[""Synthetic""]";AppCoins;US Dollar
APX/USD;"[""Synthetic""]";APX;US Dollar
ARB/BTC;"[""YoBit""]";ARbit;Bitcoin
ARBI/USD;"[""Synthetic""]";ARBITRAGE;US Dollar
ARB/USD;"[""Synthetic""]";ARbit;US Dollar
ARCO/BTC;"[""YoBit""]";AquariusCoin;Bitcoin
ARCO/USD;"[""Synthetic""]";AquariusCoin;US Dollar
